99305.90194,99364.26981,99437.86462,99526.62195,99529.41738,99629.47114
99300.73372,99355.39448,99422.23922,99504.44772,99503.88018,99601.57724
99284.79033,99328.02385,99382.91003,99447.97566,99446.26902,99524.3518
99260.82491,99288.16335,99320.37214,99361.00949,99358.94864,99406.36022
99232.13807,99239.23834,99245.16328,99254.72287,99254.08288,99265.7798
99202.49327,99187.64066,99163.67124,99140.21299,99139.34759,99114.6134
99176.85744,99145.66296,99092.11313,99035.9832,99038.04808,98977.31344
99165.45838,99117.55574,99040.96225,98957.031,98957.73539,98873.51031
99179.26847,99136.63066,99026.30688,98916.9773,98916.06762,98822.84646
99181.7278,99143.30828,99059.05503,98926.28734,98925.08384,98836.4392
99180.23852,99141.11863,99052.96507,98960.52478,98966.24041,98888.97472
99182.00553,99160.75707,99113.43002,99040.64828,99050.37694,99078.10178
99184.98007,99163.44181,99139.16647,99167.5957,99173.1463,99160.18148
99184.06235,99164.82644,99141.09851,99121.79819,99128.09746,99082.29592
99182.29936,99159.58175,99140.34984,99073.5816,99077.29676,99021.22318
99182.01761,99159.92388,99142.89773,99094.51208,99095.66728,99043.90056
99182.48854,99162.92257,99153.50787,99107.53728,99107.3159,99058.63643
99188.98504,99169.20172,99171.01301,99223.12588,99223.76587,99225.22698
99190.90904,99172.08167,99162.7978,99244.91774,99244.52529,99257.47
99193.52133,99178.87804,99165.01965,99300.82227,99302.73419,99344.99365
99192.83303,99174.96162,99154.58258,99266.70959,99265.28471,99289.71301
99190.06377,99171.80192,99147.09992,99268.63761,99268.73421,99293.7381
99190.41395,99168.58588,99146.1178,99235.5272,99234.97174,99240.08764
99189.94301,99172.28896,99150.21132,99154.69125,99155.613,99120.96098
99192.74851,99175.19508,99149.10844,98985.64538,98984.96514,98926.29136
99191.5289,99170.65478,99137.03317,98931.2543,98930.87594,98822.31917
99189.79006,99162.14171,99094.70126,98892.68183,98892.66976,98769.53008
99190.4864,99165.02367,99098.40032,98867.14261,98870.20571,98746.08793
99191.07809,99162.83,99070.67548,98881.68528,98879.23803,98766.81717
99177.98447,99141.06631,99069.25864,98936.35812,98936.90553,98839.69148
99185.68044,99159.66225,99112.23457,99025.40525,99027.20044,98961.38213
99208.95757,99199.6918,99179.74343,99136.86814,99137.25455,99109.18757
99236.05852,99246.86187,99255.52386,99253.15711,99253.90175,99265.8281
99263.22789,99293.11421,99328.19693,99361.62935,99362.90128,99410.44166
99287.45091,99331.63034,99388.5049,99449.15501,99447.94748,99525.41845
99302.19885,99355.74466,99424.9159,99504.23036,99504.7496,99603.74676
