1	99263.70285	99215.85657	1.17275
2	99264.9949	99216.28323	1.14096
3	99264.04096	99215.96525	1.15341
4	99263.6304	99215.42186	1.21297
5	99263.96448	99216.19065	1.3168
6	99264.45152	99216.11418	1.7954
7	99264.27039	99216.51668	1.87198
8	99264.78962	99215.28098	1.68426
9	99264.21806	99215.88072	1.46471
10	99263.76322	99214.8503	1.68197
11	99264.18988	99215.66337	1.83108
12	99262.32627	99215.63921	1.87028
13	99261.14692	99214.82615	1.06949
14	99259.50066	99214.62892	1.57754
15	99256.74749	99214.99923	1.50003
16	99252.79083	99214.81005	1.32825
17	99250.41602	99215.50639	1.1688
18	99247.98487	99215.0918	1.11659
19	99245.87975	99214.56049	1.088
20	99247.22815	99215.09985	1.04464
21	99226.63577	99215.23671	1.03565
22	99249.99339	99215.13205	1.07186
23	99248.2465	99214.56452	1.07308
24	99250.08597	99214.67722	1.08253
25	99252.94781	99214.8181	1.08388
26	99255.22198	99215.1723	1.16245
27	99258.84859	99214.85432	1.22089
28	99260.49083	99215.13205	1.29192
29	99261.99219	99215.45809	1.31724
30	99262.55167	99214.35521	1.21789
31	99205.83811	99215.75997	1.22962
32	99230.38716	99214.63294	1.12533
33	99262.77305	99214.33106	1.11732
34	99263.08701	99214.34716	1.17812
35	99263.57807	99213.9527	1.14806
36	99263.94435	99214.16201	1.14231
37	99263.27216	99213.92453	1.14528
